fold,n_train,temporal,embargoed,gap
2014,39786,0.14021384321936986,0.12297325346889784,-0.01724058975047202
2015,93153,0.1866845228418874,0.16832790854809518,-0.018356614293792234
2016,150000,0.1979823617623494,0.18832177310243373,-0.009660588659915675
2017,150000,0.1780584389648508,0.17093953107341475,-0.007118907891436044
