fold,chosen_cfg,inner_pr_auc,inner_spread,pr_auc,roc_auc,brier,ks,param_C,param_n_bins,param_min_bin_fraction
2014,2,0.1468939969053729,0.011395420939830342,0.12905353333337105,0.630378079679428,0.07776897424006436,0.18663145127337388,0.01,10,0.02
2015,2,0.14858164891448103,0.00826599612272036,0.17801512601574287,0.6719248873355967,0.08729842944799213,0.2519597424586598,0.01,10,0.02
2016,5,0.13868603447984512,0.003948357247646833,0.186969647863166,0.6684669343957441,0.09323528314574556,0.2428770235674123,1.0,5,0.05
2017,7,0.15694881841895728,0.0036169810636576816,0.1685107437901668,0.669563159339083,0.08426429259480203,0.24645021329947564,0.1,10,0.005
