regime,n_features,pr_auc,roc_auc,brier
clean,97,0.19443910104780737,0.6971494632903298,0.08300695673894781
grade_kept,101,0.20367948105945666,0.7094501588695415,0.0824282686280899
naive,139,0.9972051058352295,0.9996454989116782,0.0034371340502656425
