fold,model,proxy,scenario,group,n,base_default_rate,approval_rate,tpr,fpr,fnr,mean_predicted,calibration_gap
2014,logistic_woe,income_quintile,baseline,1,14484.0,0.11888980944490472,0.9843965755316211,0.9846419056574205,0.9825783972125436,0.015358094342579509,0.09472403446581634,-0.02416577497908838
2014,logistic_woe,income_quintile,baseline,2,20198.0,0.09976235270818892,0.9967323497375978,0.9970301930374526,0.994044665012407,0.00296980696254745,0.0794173620721415,-0.020344990636047416
2014,logistic_woe,income_quintile,baseline,3,19409.0,0.0896491318460508,0.9899015920449276,0.99043522553625,0.9844827586206897,0.009564774463750036,0.09261571324262373,0.002966581396572923
2014,logistic_woe,income_quintile,baseline,4,22248.0,0.0771754764473211,0.9952355267889248,0.9958599191466563,0.9877693651718114,0.0041400808533437194,0.07872676025336042,0.0015512838060393191
2014,logistic_woe,income_quintile,baseline,5,23661.0,0.06145133341786062,0.98989898989899,0.9904084297743955,0.9821182943603851,0.009591570225604529,0.08551974910393613,0.02406841568607551
2014,logistic_woe,income_quintile,demographic_parity,1,14484.0,0.11888980944490472,0.9926815796741232,0.9930261714464818,0.9901277584204413,0.0069738285535182465,0.09472403446581634,-0.02416577497908838
2014,logistic_woe,income_quintile,demographic_parity,2,20198.0,0.09976235270818892,0.9933161699178137,0.9936754110982786,0.9900744416873449,0.006324588901721384,0.0794173620721415,-0.020344990636047416
2014,logistic_woe,income_quintile,demographic_parity,3,19409.0,0.0896491318460508,0.990519861919728,0.9909445922236686,0.9862068965517241,0.009055407776331403,0.09261571324262373,0.002966581396572923
2014,logistic_woe,income_quintile,demographic_parity,4,22248.0,0.0771754764473211,0.9874145990650846,0.9886026009449126,0.9732090856144437,0.01139739905508741,0.07872676025336042,0.0015512838060393191
2014,logistic_woe,income_quintile,demographic_parity,5,23661.0,0.06145133341786062,0.9896031444148599,0.9900932138514883,0.9821182943603851,0.009906786148511704,0.08551974910393613,0.02406841568607551
2014,logistic_woe,income_quintile,equal_opportunity,1,14484.0,0.11888980944490472,0.992129246064623,0.9923993104529071,0.9901277584204413,0.00760068954709292,0.09472403446581634,-0.02416577497908838
2014,logistic_woe,income_quintile,equal_opportunity,2,20198.0,0.09976235270818892,0.9933161699178137,0.9936754110982786,0.9900744416873449,0.006324588901721384,0.0794173620721415,-0.020344990636047416
2014,logistic_woe,income_quintile,equal_opportunity,3,19409.0,0.0896491318460508,0.9910350868153949,0.9914539589110872,0.9867816091954023,0.00854604108891277,0.09261571324262373,0.002966581396572923
2014,logistic_woe,income_quintile,equal_opportunity,4,22248.0,0.0771754764473211,0.988718087019058,0.9897715649505625,0.9761211415259173,0.01022843504943749,0.07872676025336042,0.0015512838060393191
2014,logistic_woe,income_quintile,equal_opportunity,5,23661.0,0.06145133341786062,0.9895608807742698,0.9900481830053587,0.9821182943603851,0.009951816994641316,0.08551974910393613,0.02406841568607551
2014,logistic_woe,emp_length,baseline,1 year,6095.0,0.09253486464315012,0.9944216570959803,0.994576026035075,0.9929078014184397,0.005423973964925,0.08672342824677834,-0.005811436396371786
