fold,chosen_cfg,inner_pr_auc,inner_spread,pr_auc,roc_auc,brier,ks,n_inner_train,n_outer_train,param_num_leaves,param_learning_rate,param_n_estimators,param_min_child_samples,param_reg_lambda
2014,0,0.14356775794527338,0.010867123908835374,0.12759353044223654,0.6290951423609595,0.07855300544823696,0.18687490071038104,18065,39786,15,0.05,300,100,1.0
2015,0,0.14633744666607984,0.009693165517885571,0.1873777929892848,0.6794373273692202,0.08704702531571351,0.2618545957189451,39786,93153,15,0.05,300,100,1.0
2016,4,0.14761154870568266,0.004781655444117738,0.1990561469558047,0.6832754427698005,0.09231428500433343,0.2639177232385851,93153,150000,15,0.03,800,200,10.0
2017,4,0.16736212056373798,0.005516270929536077,0.1759129890923642,0.6834967146073757,0.08390286071128548,0.2685719713979858,150000,150000,15,0.03,800,200,10.0
