fold,model,proxy,scenario,dp_gap,disparate_impact_ratio,eo_tpr_gap,eo_fpr_gap,profit_per_applicant,approve_rate,cost_vs_baseline
2014,logistic_woe,income_quintile,baseline,0.012335774205976757,0.9876237846506896,0.01238828738003206,0.011926370652021845,1379.4388348070142,0.99167,0.0
2014,logistic_woe,income_quintile,demographic_parity,0.005901570852729132,0.9940587186321376,0.005072810153366025,0.01691867280599757,1377.4381544577584,0.99049,2.0006803492558447
2014,logistic_woe,income_quintile,equal_opportunity,0.00459808289875574,0.9953709775014171,0.0039038461477161057,0.014006616894523982,1377.3653227647267,0.99079,2.0735120422875752
2014,logistic_woe,emp_length,baseline,0.065508178807831,0.9343755803386062,0.06445259582771734,0.07345417537682919,1379.4388348070142,0.99167,0.0
2014,logistic_woe,emp_length,demographic_parity,0.008042025357160476,0.9919389365082398,0.008263701069161411,0.015044836766148317,1378.9987114034986,0.99297,0.4401234035155994
2014,logistic_woe,emp_length,equal_opportunity,0.01354251368113979,0.9864227482214145,0.012692056611213753,0.02176034348165501,1374.960598063547,0.98996,4.478236743467278
2014,lightgbm,income_quintile,baseline,0.005545919754265771,0.9944070058320021,0.004934274042689202,0.012070391603205777,1375.015683622623,0.98852,0.0
2014,lightgbm,income_quintile,demographic_parity,0.004169857886670236,0.9957891499943853,0.0038811847046115178,0.01401338125204199,1372.1710817956825,0.98783,2.8446018269405613
2014,lightgbm,income_quintile,equal_opportunity,0.004951916382385568,0.995007182074508,0.00497970205748044,0.012312721565544416,1374.2218608626438,0.98855,0.7938227599793208
2014,lightgbm,emp_length,baseline,0.015408696079031503,0.9844782742312531,0.015431647937809267,0.020326768621410474,1375.015683622623,0.98852,0.0
2014,lightgbm,emp_length,demographic_parity,0.007386013504926403,0.9925555208483556,0.006923891945690097,0.021013966987121324,1375.8974062527143,0.98878,-0.8817226300911898
2014,lightgbm,emp_length,equal_opportunity,0.01262550784469374,0.987314949575571,0.011680093216323129,0.026047524034101266,1376.3171864206129,0.98867,-1.3015027979897695
2015,logistic_woe,income_quintile,baseline,0.028447115710350634,0.9713649251077056,0.026810885745753188,0.03523370746951682,1227.3970718559644,0.9814,0.0
2015,logistic_woe,income_quintile,demographic_parity,0.010918287382365222,0.9889325045785834,0.011647171169645865,0.008317560684683922,1229.48365119907,0.9821,-2.086579343105541
2015,logistic_woe,income_quintile,equal_opportunity,0.01031596922222855,0.9895438871378854,0.01102217937043104,0.009270616877994131,1229.3602120509775,0.98241,-1.9631401950130112
2015,logistic_woe,emp_length,baseline,0.09220371180995102,0.907306091241186,0.08559721097688633,0.13405013732250337,1227.3970718559644,0.9814,0.0
2015,logistic_woe,emp_length,demographic_parity,0.009369664058325289,0.9905277657903234,0.008784156518838793,0.025082166420643093,1228.7146201520834,0.98402,-1.3175482961189573
2015,logistic_woe,emp_length,equal_opportunity,0.011282586151170726,0.9885764534405153,0.01136624760186078,0.023834378593506567,1227.9571830734033,0.98084,-0.5601112174388163
2015,lightgbm,income_quintile,baseline,0.009723205791068557,0.9902426615494668,0.008944321348026252,0.01323336995064095,1220.2544669137417,0.99246,0.0
2015,lightgbm,income_quintile,demographic_parity,0.0065964269543921095,0.9933662874195168,0.0057884141742136075,0.011557541820945594,1220.4591459580522,0.99194,-0.20467904431052375
2015,lightgbm,income_quintile,equal_opportunity,0.0077485059496931186,0.9922147741737583,0.006651148687031649,0.014373648054997523,1220.4889181491128,0.99211,-0.23445123537112522
2015,lightgbm,emp_length,baseline,0.009241263278125356,0.9907100457329615,0.009199996913135333,0.02189713558436046,1220.2544669137417,0.99246,0.0
2015,lightgbm,emp_length,demographic_parity,0.007707871185441584,0.9922570309948423,0.00710330718210439,0.014992459162648353,1220.5377170103686,0.99229,-0.28325009662694356
