comparison,mean,paired_sd,unpaired_sd_a,unpaired_sd_b,all_same_sign,per_fold
temporal - random_matched,-0.0036801714037093813,0.002138760944381827,0.019059176426834894,0.019972819246818655,True,"-0.0040, -0.0043, -0.0058, -0.0007"
embargoed - random_matched,-0.02351567254694138,0.014281872261997515,0.027894078034696047,0.019972819246818655,True,"-0.0383, -0.0325, -0.0154, -0.0078"
embargoed - temporal,-0.019835501143231998,0.01349309890284978,0.027894078034696047,0.019059176426834894,True,"-0.0344, -0.0282, -0.0097, -0.0071"
