fold,model,cal_year,thr_realistic,thr_oracle,approve_rate_realistic,approve_rate_oracle,approve_rate_naive,profit_realistic_on_own_cohort,profit_realistic_on_test,profit_oracle_on_test,profit_naive_on_test,drift_cost_per_applicant,drift_cost_pct_of_oracle,vs_naive_gain_per_applicant
2014,logistic_woe,2011,0.228354083593819,0.284643201199969,0.99167,0.99842,1.0,1216.9075159216811,1379.4388348070142,1387.6971846906793,1386.411474593637,8.258349883665005,0.005951118136415193,-6.972639786622722
2014,lightgbm,2011,0.22862527568516988,0.6499098987762163,0.98852,1.0,0.99993,1206.280713821216,1375.015683622623,1386.4114745933953,1386.1014023440318,11.395790970772168,0.008219631169825905,-11.085718721408739
2015,logistic_woe,2012,0.19951025636151545,0.19591031978719853,0.9814,0.97929,1.0,1231.734453092209,1227.3970718559644,1230.0061552306738,1220.6016275087502,2.609083374709371,0.0021211953807012186,6.795444347214243
2015,lightgbm,2012,0.24039224988225869,0.19603756475746134,0.99246,0.97494,1.0,1229.2122583328787,1220.2544669137417,1224.3272519075636,1220.6016275087502,4.07278499382187,0.0033265493253345994,-0.3471605950085177
2016,logistic_woe,2013,0.2368385834439065,0.14153975688264936,0.99388,0.91344,1.0,1469.9436617310712,1066.1272859565572,1093.2367084003645,1058.7250270068275,27.10942244380726,0.024797394960762026,7.402258949729685
2016,lightgbm,2013,0.21697500976560374,0.1550716292186448,0.97849,0.91988,0.99995,1470.9787408417535,1078.807294803775,1095.2303947834455,1058.746784716323,16.423099979670496,0.01499510975763027,20.06051008745203
2017,logistic_woe,2014,0.19683902921706528,0.15962430553033935,0.98091,0.94661,1.0,1401.5055080223665,1217.086398143716,1228.97110968547,1202.6394451582876,11.884711541754086,0.009670456407063738,14.446952985428425
2017,lightgbm,2014,0.19159686301436232,0.17538017467775133,0.96601,0.95167,0.99985,1399.7244801925635,1220.8588931879704,1226.285160140035,1202.7174549127678,5.42626695206468,0.004424963400392964,18.141438275202518
