zip3,total,white_nonhispanic,black_nonhispanic,aian_nonhispanic,asian_nonhispanic,nhpi_nonhispanic,other_race_nonhispanic,two_or_more_nonhispanic,hispanic,other_nonhispanic,pct_white_nonhispanic,pct_black_nonhispanic,pct_asian_nonhispanic,pct_hispanic,pct_other_nonhispanic,race_proxy_group
006,1107100.0,11752.0,844.0,41.0,293.0,13.0,1036.0,1105.0,1092016.0,2195.0,0.010615120585312979,0.0007623520910486857,0.00026465540601571674,0.9863752145244332,0.001982657393189414,hispanic
007,1259961.0,6920.0,715.0,18.0,473.0,0.0,598.0,230.0,1251007.0,846.0,0.005492233489766747,0.000567477882251911,0.0003754084451820334,0.9928934308284145,0.0006714493543847785,hispanic
009,1017718.0,9299.0,1545.0,0.0,1571.0,31.0,655.0,415.0,1004202.0,1101.0,0.009137108707913195,0.001518102264084943,0.0015436496161019065,0.9867193073130278,0.0010818320988721826,hispanic
010,476701.0,385442.0,12045.0,533.0,15063.0,63.0,767.0,8003.0,54785.0,9366.0,0.8085613413859002,0.025267410808871807,0.031598423330347535,0.11492528859809398,0.0196475358767865,white_nonhispanic
011,170426.0,62639.0,28827.0,272.0,4330.0,18.0,405.0,3987.0,69948.0,4682.0,0.3675436846490559,0.16914672643845421,0.025406921479117037,0.41043033339983337,0.027472334033539485,hispanic
012,126889.0,112209.0,3473.0,273.0,2171.0,56.0,333.0,2535.0,5839.0,3197.0,0.8843083324795687,0.0273703788350448,0.017109442110821268,0.04601659718336499,0.025195249391200183,white_nonhispanic
013,82620.0,75274.0,983.0,219.0,1228.0,65.0,74.0,1542.0,3235.0,1900.0,0.9110869038973615,0.011897845557976277,0.014863229242314209,0.03915516824013556,0.02299685306221254,white_nonhispanic
014,219839.0,176897.0,6124.0,236.0,6185.0,0.0,727.0,4759.0,24911.0,5722.0,0.8046661420403113,0.02785674971228945,0.028134225501389654,0.11331474397172477,0.026028138774284816,white_nonhispanic
015,387072.0,327800.0,7963.0,423.0,18774.0,115.0,1146.0,6833.0,24018.0,8517.0,0.8468708664021164,0.020572399966931217,0.048502604166666664,0.06205047123015873,0.022003658234126984,white_nonhispanic
016,192722.0,110523.0,22605.0,539.0,14060.0,70.0,781.0,4266.0,39878.0,5656.0,0.5734840858853686,0.11729330330735463,0.07295482612260147,0.2069198119571196,0.029347972727555755,white_nonhispanic
017,402330.0,311266.0,10423.0,434.0,36239.0,84.0,4216.0,8295.0,31373.0,13029.0,0.7736584395893918,0.025906594089429077,0.09007282578977456,0.0779782765391594,0.032383863992245174,white_nonhispanic
018,754115.0,521105.0,22637.0,847.0,65698.0,116.0,3056.0,11958.0,128698.0,15977.0,0.6910152960755322,0.03001796808179124,0.08711933856242085,0.1706609734589552,0.021186423821300465,white_nonhispanic
019,499779.0,392467.0,17659.0,672.0,14925.0,74.0,1912.0,8888.0,63182.0,11546.0,0.7852810942436557,0.03533361745891684,0.029863199534194113,0.12641987758589296,0.023102211177340383,white_nonhispanic
020,418084.0,360333.0,14920.0,382.0,17641.0,117.0,2157.0,6991.0,15543.0,9647.0,0.8618674716085762,0.03568660843275514,0.0421948699304446,0.037176739602567906,0.023074310425656087,white_nonhispanic
021,1383842.0,748644.0,212386.0,1995.0,152968.0,507.0,10284.0,32653.0,224405.0,45439.0,0.5409895060274222,0.153475613545477,0.1105386308552566,0.1621608536234628,0.03283539594838139,white_nonhispanic
022,28840.0,17589.0,1269.0,17.0,5744.0,0.0,44.0,1177.0,3000.0,1238.0,0.6098821081830791,0.044001386962552014,0.19916782246879333,0.10402219140083217,0.04292649098474341,white_nonhispanic
023,457334.0,342118.0,61537.0,320.0,10546.0,90.0,11734.0,9352.0,21637.0,21496.0,0.7480703380898862,0.13455592630331442,0.02305973314907704,0.04731115552309691,0.04700284693462546,white_nonhispanic
024,428015.0,311224.0,13833.0,380.0,60045.0,50.0,1670.0,12028.0,28785.0,14128.0,0.7271333948576568,0.03231896078408467,0.14028713946941113,0.06725231592350735,0.03300818896534,white_nonhispanic
025,118248.0,103597.0,2957.0,415.0,1464.0,7.0,2281.0,3573.0,3954.0,6276.0,0.876099384344767,0.02500676544212164,0.012380759082606049,0.03343819768621879,0.053074893444286585,white_nonhispanic
026,146672.0,131446.0,4796.0,769.0,2068.0,130.0,947.0,2219.0,4297.0,4065.0,0.8961901385404167,0.03269881095232901,0.014099487291371223,0.029296661939565833,0.027714901276317226,white_nonhispanic
027,536605.0,439840.0,19359.0,164.0,11186.0,136.0,10734.0,13615.0,41571.0,24649.0,0.8196718256445616,0.03607681628013157,0.02084587359417076,0.07747039256063586,0.04593509192050018,white_nonhispanic
028,673597.0,552136.0,24645.0,1950.0,15141.0,321.0,4667.0,14145.0,60592.0,21083.0,0.8196829855239854,0.03658715819696347,0.022477831700556863,0.08995289468331955,0.031299129895174714,white_nonhispanic
029,383014.0,215591.0,34356.0,1758.0,19987.0,363.0,2423.0,10270.0,98266.0,14814.0,0.562880208034171,0.08969907105223308,0.0521834711002731,0.2565598124350546,0.038677437378268155,white_nonhispanic
030,388969.0,344242.0,4434.0,226.0,12689.0,94.0,595.0,6579.0,20110.0,7494.0,0.8850114019369153,0.011399366016314924,0.032622136982638716,0.05170077821111708,0.019266316853013995,white_nonhispanic
031,152650.0,123998.0,5952.0,229.0,6652.0,17.0,175.0,3431.0,12196.0,3852.0,0.8123026531280707,0.038991156239764166,0.043576809695381594,0.0798951850638716,0.02523419587291189,white_nonhispanic
032,189727.0,179996.0,1123.0,246.0,1814.0,68.0,197.0,3221.0,3062.0,3732.0,0.9487105156356238,0.005919031028794004,0.00956110622104392,0.01613897863772684,0.019670368476811417,white_nonhispanic
033,62163.0,55784.0,1257.0,165.0,2189.0,0.0,159.0,1124.0,1485.0,1448.0,0.8973826874507344,0.020221031803484387,0.03521387320431768,0.023888808455190386,0.023293599086273185,white_nonhispanic
034,83755.0,78958.0,556.0,149.0,1085.0,9.0,36.0,1342.0,1620.0,1536.0,0.9427258074144828,0.0066384096471852425,0.012954450480568324,0.019342128828129666,0.01833920362963405,white_nonhispanic
035,45207.0,42115.0,866.0,281.0,329.0,31.0,6.0,463.0,1116.0,781.0,0.9316035127303294,0.01915632534784436,0.007277633994735328,0.024686442365120447,0.01727608556197049,white_nonhispanic
036,13474.0,13121.0,5.0,24.0,44.0,0.0,0.0,154.0,126.0,178.0,0.9738013952797981,0.00037108505269407746,0.003265548463707882,0.009351343327890753,0.013210627875909159,white_nonhispanic
037,78062.0,70594.0,959.0,314.0,3038.0,25.0,2.0,1174.0,1956.0,1515.0,0.9043324536906562,0.012285106710050986,0.038917783300453486,0.025057005969613896,0.01940765032922549,white_nonhispanic
038,329666.0,305798.0,2470.0,204.0,8008.0,26.0,153.0,6322.0,6685.0,6705.0,0.927599449139432,0.007492431733936772,0.024291252358447642,0.020278099652375436,0.02033876711580812,white_nonhispanic
039,50061.0,47353.0,246.0,183.0,607.0,12.0,31.0,742.0,887.0,968.0,0.9459059946864825,0.004914004914004914,0.012125207247158466,0.01771838357204211,0.01933640958031202,white_nonhispanic
